"lang"
{
	"Language"	"russian"
	"Tokens"
	{
	
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>-AXE START------------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	
	
	//>---------------------------------------
	//>--- LEGENDARY -------------------------
	//>---------------------------------------
	
	"DOTA_Tooltip_Ability_pathfinder_axe_special_culling_blade_leap"	                                    "Workplace Axe-cidents"
	"DOTA_Tooltip_Ability_pathfinder_axe_special_culling_blade_leap_Description"	                        "Culling Blade позволяет Axe прыгнуть на любого вражеского юнита в радиусе 1200. При приземлении он оглушает всех юнитов в радиусе %stun_radius% на %stun_duration% секунд, и наносит урон от Culling Blade's Failure всем второстепенным целям"
	
	"DOTA_Tooltip_Ability_pathfinder_axe_special_culling_blade_omnislash"	                                "Omnidirectional Axe-travaganza"
	"DOTA_Tooltip_Ability_pathfinder_axe_special_culling_blade_omnislash_Description"	                    "После убийства врага с помощью Ultimate Axe мгновенно отскакивает и накладывает Culling Blade на врага с самым низким уровнем здоровья в радиусе %search_radius%"
	
	"DOTA_Tooltip_Ability_pathfinder_axe_special_culling_blade_heal"	                                    "Back in Axe-tion"
	"DOTA_Tooltip_Ability_pathfinder_axe_special_culling_blade_heal_Description"	                        "Убийство вражеского юнита с помощью Culling Blade мгновенно исцеляет Axe на %health_pct%%% от максимального здоровья цели. Кроме того, Culling Blade возвращает %mana_mult% от маны потраченной на убийство"
	
	"DOTA_Tooltip_Ability_pathfinder_axe_special_culling_blade_delay"	                                    "Unforgettable Axe-periences"
	"DOTA_Tooltip_Ability_pathfinder_axe_special_culling_blade_delay_Description"	                        "Culling Blade теперь имеет период отсрочки в %duration% секунд, в течение которого у задетого юнита будут отключены пассивные способности и он мгновенно умрет, если его здоровье упадет ниже порога убийства"
	
	"DOTA_Tooltip_Ability_pathfinder_axe_special_counter_helix_reduce_damage"	                            "Low Axe-pectation"
	"DOTA_Tooltip_Ability_pathfinder_axe_special_counter_helix_reduce_damage_Description"	                "Вражеские юниты, задетые Counter Helix, наносят на %percent%%% меньше урона в течение %duration% секунд"
	
	"DOTA_Tooltip_Ability_pathfinder_axe_special_counter_helix_allies"	                                    "Axe-ceptional Influences"
	"DOTA_Tooltip_Ability_pathfinder_axe_special_counter_helix_allies_Description"	                        "Counter Helix становится способностью ауры, которая дает преимущество всем союзным героям в радиусе %radius%"
	
	"DOTA_Tooltip_Ability_pathfinder_axe_special_counter_helix_fury"	                                    "Huge Pain in the Axe"
	"DOTA_Tooltip_Ability_pathfinder_axe_special_counter_helix_fury_Description"	                        "Counter Helix теперь можно переключать, в результате чего Axe непрерывно наносит урон от способности ближайшим врагам каждую секунду. Этот эффект не требует маны, но истощает 3%% здоровья в секунду. Axe передвигается %self_slow%%% медленее пока действует этот эффект"
	
	"DOTA_Tooltip_Ability_pathfinder_axe_special_battle_hunger_lifesteal"	                                "Axe-cellent Camaraderie"
	"DOTA_Tooltip_Ability_pathfinder_axe_special_battle_hunger_lifesteal_Description"	                    "Battle Hunger теперь лечит всех ближайших союзных героев в радиусе %radius% на %percent%%% от своего урона"
	
	"DOTA_Tooltip_Ability_pathfinder_axe_special_battle_hunger_culling_cdr"	                                "Axe-citing Developments"
	"DOTA_Tooltip_Ability_pathfinder_axe_special_battle_hunger_culling_cdr_Description"	                    "Каждый раз, когда вражеский юнит, пораженный Battle Hunger, подвергается атаке, время восстановления способностей Axe сокращается на %cdr% секунд. Эти атаки не обязательно должны исходить от самого Axe"
	
	"DOTA_Tooltip_Ability_pathfinder_axe_special_battle_hunger_refresh"	                                    "Axe-quisite Allure"
	"DOTA_Tooltip_Ability_pathfinder_axe_special_battle_hunger_refresh_Description"	                        "Каждый раз, когда юнит, пораженный Battle Hunger, атакует Axe, он получает дополнительный стак Battle Hunger. Этот эффект полностью игнорирует максимальное количество стаков способности"
	
	"DOTA_Tooltip_Ability_pathfinder_axe_special_berseker_call_health"	                                    "Cardiovascular Axercises"
	"DOTA_Tooltip_Ability_pathfinder_axe_special_berseker_call_health_Description"	                        "Axe получает бонус %stack_health% к максимальному запасу здоровья каждый раз, когда вражеский юнит умирает под действием Berserker's Call. Половина этого бонуса теряется при смерти"
	
	"DOTA_Tooltip_Ability_pathfinder_axe_special_berseker_call_battle_hunger"	                            "Axe-troverted Personality"
	"DOTA_Tooltip_Ability_pathfinder_axe_special_berseker_call_battle_hunger_Description"	                "Berserker's Call также автоматически применяет Battle Hunger ко всем задетым вражеским юнитам. Axe исцеляется на %heal_pct%%% от его максимального здоровья за каждого спровоцированного юнита"
	
	"DOTA_Tooltip_Ability_pathfinder_axe_special_berseker_call_allies"	                                    "Come Axe Me A Question"
	"DOTA_Tooltip_Ability_pathfinder_axe_special_berseker_call_allies_Description"	                        "Berserker's Call также срабатывает на союзных героях, давая им бонус к броне и привлекая агро ближайших вражеских юнитов к Axe"
	
	"DOTA_Tooltip_Ability_pathfinder_axe_special_berseker_call_blink"	                                    "Calls of Ceeeeeeeeeb"
	"DOTA_Tooltip_Ability_pathfinder_axe_special_berseker_call_blink_Description"	                        "Berserker's Call становится нацеленной на точку способностью, которая позволяет Axe мгновенно переместиться на позицию на расстоянии до 750 единиц"     //I have to hard coded this value
	
	
	//>---------------------------------------
	//>--- ABILITY ---------------------------
	//>---------------------------------------
	
	"DOTA_Tooltip_Ability_axe_culling_blade_lua"	                                                        "Culling Blade"
	"DOTA_Tooltip_Ability_axe_culling_blade_lua_Description"	                                            "Axe обнаруживает слабость и наносит удар, мгновенно убивая вражеский юнит с низким уровнем здоровья или нанося %damage%%% от порога в качестве урона в противном случае. Когда вражеский герой убит с помощью Culling Blade, его время восстановления сбрасывается, а Axe и ближайшие союзные юниты получают дополнительную скорость передвижения."
	"DOTA_Tooltip_Ability_axe_culling_blade_lua_kill_threshold"		                                        "ПОРОГ УБИЙСТВА:"
	"DOTA_Tooltip_Ability_axe_culling_blade_lua_damage"		                                                "%УРОН ПРИ НЕУДАЧЕ:"
	"DOTA_Tooltip_Ability_axe_culling_blade_lua_speed_bonus"		                                        "%БОНУС СКОРОСТИ:"
	"DOTA_Tooltip_Ability_axe_culling_blade_lua_atk_speed_bonus_tooltip"		                            "БОНУС СКОРОСТИ АТАКИ:"
	"DOTA_Tooltip_Ability_axe_culling_blade_lua_speed_duration"		                                        "ДЛИТЕЛЬНОСТЬ УСКОРЕНИЯ:"
	"DOTA_Tooltip_Ability_axe_culling_blade_lua_speed_aoe"		                                            "РАДИУС УСКОРЕНИЯ:"
	
	"DOTA_Tooltip_Ability_axe_counter_helix_lua"	                                                        "Counter Helix"
	"DOTA_Tooltip_Ability_axe_counter_helix_lua_Description"	                                            "При атаке Axe имеет шанс провести атаку counter helix, нанося чистый урон всем ближайшим врагам."
	"DOTA_Tooltip_Ability_axe_counter_helix_lua_radius"		                                                "РАДИУС:"
	"DOTA_Tooltip_Ability_axe_counter_helix_lua_trigger_chance"		                                        "%ШАНС СРАБАТЫВАНИЯ:"
	"DOTA_Tooltip_Ability_axe_counter_helix_lua_damage"		                                                "УРОН:"
	
	"DOTA_Tooltip_Ability_axe_berserkers_call_lua"	                                                        "Berserker's Call"
	"DOTA_Tooltip_Ability_axe_berserkers_call_lua_Description"	                                            "Axe насмехается над ближайшими вражескими юнитами, заставляя их атаковать его, в то время как он получает уменьшенный урон во время действия."
	"DOTA_Tooltip_Ability_axe_berserkers_call_lua_radius"		                                            "РАДИУС:"
	"DOTA_Tooltip_Ability_axe_berserkers_call_lua_bonus_armor"		                                        "%СНИЖЕНИЕ УРОНА:"
	"DOTA_Tooltip_Ability_axe_berserkers_call_lua_duration"	                                                "ДЛИТЕЛЬНОСТЬ:"
	
	"DOTA_Tooltip_Ability_axe_battle_hunger_lua"	                                                        "Battle Hunger"
	"DOTA_Tooltip_Ability_axe_battle_hunger_lua_Description"	                                            "Злит вражеских юнитов в области, заставляя их замедляться и получать постепенный урон, пока они не убьют другого юнита или время действия не закончится. Axe получает скорость передвижения за каждого юнита, пораженного Battle Hunger. Стакается до %max_stacks% раз."
	"DOTA_Tooltip_Ability_axe_battle_hunger_lua_radius"		                                                "РАДИУС:"
	"DOTA_Tooltip_Ability_axe_battle_hunger_lua_damage_per_second"		                                    "УРОН В СЕКУНДУ:"
	"DOTA_Tooltip_Ability_axe_battle_hunger_lua_duration"		                                            "ДЛИТЕЛЬНОСТЬ:"
	"DOTA_Tooltip_Ability_axe_battle_hunger_lua_speed_bonus"		                                        "%БОНУС СКОРОСТИ ЗА ЗАДЕТОГО ЮНИТА:"
